fund,fund_code,snapshot_date,source_url,raw_file,raw_sha256,status,num_holdings,total_weight,captured_at_utc
easyai,EASYAI,2026-05-08,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260508.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260508.csv,4f66610c4fb825b536a8466071f81b8bbd52c1dae70a308744f6703471f508d5,duplicate,31,99.83,2026-05-10T04:15:33Z
easyai,EASYAI,2026-05-11,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260511.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260511.csv,b15a0aae81c12a485f0646f1f6548abad473ae19e5d34b01999a98d07b543756,new,31,99.84,2026-05-11T08:36:46Z
easyai,EASYAI,2026-05-12,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260512.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260512.csv,0137d006f1a6ca756119040bdf8212d6e07545ac5f3748ffe50b5f8f58c2fddc,new,31,99.86,2026-05-12T07:43:29Z
easyai,EASYAI,2026-05-13,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260513.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260513.csv,8e3b37a1a9b0b92ffe554d59e67e275993d00230b80e27a690f708bb0a737cc2,new,31,99.84,2026-05-13T11:37:32Z
easyai,EASYAI,2026-05-14,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260514.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260514.csv,81fbade0008bf74393282e5bccafeda965a0c708efd60dadee1d7a16a658fbe1,new,31,99.85,2026-05-14T09:33:37Z
easyai,EASYAI,2026-05-15,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260515.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260515.csv,6eb58f6fdb890863fd895749877825aedc8dcb3b6606fdab974bf85f0560b951,new,31,99.87,2026-05-15T11:30:25Z
easyai,EASYAI,2026-05-18,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260518.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260518.csv,edcd75605a92ae77579a2a4cc1bb89f559e39f060a722c082ea8eb6dcecf938f,new,31,99.86,2026-05-18T12:48:40Z
easyai,EASYAI,2026-05-19,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260519.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260519.csv,31e69e7ba0b3086b037102093483bf011a272d6fcfa06b5f549d2c77b715d979,new,31,99.85,2026-05-19T12:21:33Z
easyai,EASYAI,2026-05-20,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260520.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260520.csv,ac453ae8f80aa140d4545960a7244fb60edfaa91feee935b3238da7789259572,new,31,99.84,2026-05-20T12:04:11Z
easyai,EASYAI,2026-05-22,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260522.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260522.csv,70fc11a2313b93282c100a96976c49d646b634376b026d85c94c109132514d69,new,32,99.82,2026-05-22T12:01:33Z
easyai,EASYAI,2026-05-25,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260525.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260525.csv,0cd6a6ebc0d81da843fb30ae16de8d4c94b2a52a0faea79b63ab88fd76a1e253,new,35,99.84,2026-05-25T16:32:02Z
easyai,EASYAI,2026-05-26,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260526.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260526.csv,bd623833a5d4262a0c31c015b336a311a0f23bb668b75123fe98e1f2aefc65b2,new,32,99.84,2026-05-26T12:49:45Z
easyai,EASYAI,2026-05-27,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260527.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260527.csv,82a7f459a76afce8e42ceb477ead1e56cc0fcffb8b359b364624489379dd8513,new,32,99.86,2026-05-27T11:14:18Z
easyai,EASYAI,2026-05-28,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260528.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260528.csv,2a5a6bbe4e29dceb2c8f81d518d8c907596d52f7070a87b8f30f4bb137addc3c,new,32,99.84,2026-05-28T12:45:54Z
easyai,EASYAI,2026-05-29,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260529.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260529.csv,7b676494aab95f5c126a35754b25c83725400fed1dd7f160eaf0f921e290b190,new,33,99.86,2026-05-29T12:27:44Z
easyai,EASYAI,2026-06-01,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260601.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260601.csv,e1feea25c2bf0b21809b730b594ff8b449cda63418c112829e6490f6f5dde04e,new,34,99.81,2026-06-01T15:33:17Z
easyai,EASYAI,2026-06-02,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260602.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260602.csv,872b0d2285e8eb716a493e88b9d3c7e693815b912337c05754d16ff927220390,new,34,99.85,2026-06-02T12:52:15Z
easyai,EASYAI,2026-06-03,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260603.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260603.csv,5167f06ab9f882e2d7f293a03e006190a2628007311fe33c31b7a57559dec4d0,new,34,99.81,2026-06-03T14:06:13Z
easyai,EASYAI,2026-06-04,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260604.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260604.csv,f753c364ec26bb97642ce25b423c1e60389e0cea143970d4906eb492aeb89617,new,34,99.86,2026-06-04T12:19:42Z
easyai,EASYAI,2026-06-05,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260605.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260605.csv,7528ab059a8a63f28bdce66ecd93198ad50a73ad3d3cf551eee208592bf3106b,new,34,99.82,2026-06-05T12:20:01Z
easyai,EASYAI,2026-06-08,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260608.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260608.csv,eee066bcfe60fe2645fd80507aa9f9117accf41dd29291f1c5c83a436194e128,new,34,99.84,2026-06-08T11:13:47Z
easyai,EASYAI,2026-06-09,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260609.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260609.csv,d4a3e379211fdb8c9373e2b66f1ae2cb60e909120038f4301590128bc0e639f2,new,34,99.84,2026-06-09T12:15:54Z
easyai,EASYAI,2026-06-10,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260610.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260610.csv,23eb4f6deedd558d4e5470705d0b681b300c703a8b974b2389a9c36d11a1ac07,new,34,99.84,2026-06-10T12:36:05Z
easyai,EASYAI,2026-06-11,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260611.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260611.csv,7901eeb9bd21a83cbdc4c387b64d7387ad7756f0ae27e080d2d2a009f2e472cc,new,34,99.84,2026-06-11T12:54:50Z
easyai,EASYAI,2026-06-12,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260612.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260612.csv,5047b034242f52d9f124aa1eb4249d190cd9c184e10b835b91f5bed20c68d6aa,new,34,99.82,2026-06-12T12:31:25Z
easyai,EASYAI,2026-06-15,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260615.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260615.csv,f8665b675efb519454825dd46c459db9b07e16ea1aaa40128d9cc4b238e93408,new,34,99.81,2026-06-15T15:25:10Z
easyai,EASYAI,2026-06-17,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260617.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260617.csv,06bb6ae6ffe9a1be9f3cbedd67c41cf3011480bf07932dbcec1320c264c05a6d,new,34,99.82,2026-06-17T12:58:17Z
easyai,EASYAI,2026-06-18,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260618.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260618.csv,294af5482962d6a8ffe4755262978d7a58833fc877592e54fc12857f22d3de66,new,35,99.82,2026-06-18T12:32:01Z
easyai,EASYAI,2026-06-19,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260619.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260619.csv,83000ca9d1390fd47d4bc9a9b9bf8cda198d4f1912d4d733ccdf0a61c748b162,new,35,99.81,2026-06-19T12:54:06Z
easyai,EASYAI,2026-06-22,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260622.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260622.csv,c778c22b16b9490c699c4dadcf392668a5fd1c180b9617c7304c73e65cab4ba1,new,35,99.85,2026-06-22T14:50:11Z
easybalanced,EASYBF,2026-05-08,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYBF_PCF_ZAR_20260508.csv,data/raw/easybalanced/EASYBF_PCF_ZAR_20260508.csv,14dcef5d7bd60f8959dde4944d1f7b10629b25787d5c42acdc5ca89d11cef91d,duplicate,32,99.77,2026-05-10T04:15:34Z
easybalanced,EASYBF,2026-05-11,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYBF_PCF_ZAR_20260511.csv,data/raw/easybalanced/EASYBF_PCF_ZAR_20260511.csv,bd5c51e9e9047d9c4320c7acf5841e16cc165c467ded05e2703a62e5815d32e4,new,32,99.74,2026-05-11T08:36:46Z
easybalanced,EASYBF,2026-05-12,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYBF_PCF_ZAR_20260512.csv,data/raw/easybalanced/EASYBF_PCF_ZAR_20260512.csv,8a417b835412ba7674417d00a47eecae4c6d86c74b59342ec37a01b8aacd1b31,new,32,99.83,2026-05-12T07:43:30Z
easybalanced,EASYBF,2026-05-13,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYBF_PCF_ZAR_20260513.csv,data/raw/easybalanced/EASYBF_PCF_ZAR_20260513.csv,48eea4ca8498ca3f591b8797436f57ef4181195b0d45081dc377e2e6c287578e,new,32,99.67,2026-05-13T11:37:32Z
easybalanced,EASYBF,2026-05-14,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYBF_PCF_ZAR_20260514.csv,data/raw/easybalanced/EASYBF_PCF_ZAR_20260514.csv,6476273d965d4c4167b59af8a74d5eba7b47f5a5258aa40244b9ab033ec04d32,new,32,99.74,2026-05-14T09:33:37Z
easybalanced,EASYBF,2026-05-15,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYBF_PCF_ZAR_20260515.csv,data/raw/easybalanced/EASYBF_PCF_ZAR_20260515.csv,4d7db3a221d1d8df8732bc6d57541adf8a1e966840728b5bb5f262ef27313798,new,32,99.73,2026-05-15T11:30:25Z
easybalanced,EASYBF,2026-05-18,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYBF_PCF_ZAR_20260518.csv,data/raw/easybalanced/EASYBF_PCF_ZAR_20260518.csv,04a216a31c085f96d93334db64c956a4f68d1b65bce9f771f7958cd751b6c7f2,new,32,99.72,2026-05-18T12:48:40Z
easybalanced,EASYBF,2026-05-19,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYBF_PCF_ZAR_20260519.csv,data/raw/easybalanced/EASYBF_PCF_ZAR_20260519.csv,b8678e0c223050814b8d88e3043de902a88ce9a3dc3796d63e09919acf5326d0,new,32,99.81,2026-05-19T12:21:34Z
easybalanced,EASYBF,2026-05-20,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYBF_PCF_ZAR_20260520.csv,data/raw/easybalanced/EASYBF_PCF_ZAR_20260520.csv,99355b7df6305e2e29fd7b2e51e09224cc2d22a361314a1815baa0ff7088fec7,new,35,99.77,2026-05-20T12:04:11Z
easybalanced,EASYBF,2026-05-22,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYBF_PCF_ZAR_20260522.csv,data/raw/easybalanced/EASYBF_PCF_ZAR_20260522.csv,c9891961b7ad299b66d54e2722542ddb9ec0da840db61bdad49fcb0d6c950e35,new,29,99.78,2026-05-22T12:01:33Z
easybalanced,EASYBF,2026-05-25,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYBF_PCF_ZAR_20260525.csv,data/raw/easybalanced/EASYBF_PCF_ZAR_20260525.csv,a02a07e82e46dd6896f53689e19dd1571a4ee75b65bbfa399c2df25ab102ed8c,new,29,99.65,2026-05-25T16:32:02Z
easybalanced,EASYBF,2026-05-26,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYBF_PCF_ZAR_20260526.csv,data/raw/easybalanced/EASYBF_PCF_ZAR_20260526.csv,e212df035d3faecfc98cc07c4f465744506e144c254d346e95f36862d80c434e,new,29,99.82,2026-05-26T12:49:46Z
easybalanced,EASYBF,2026-05-27,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYBF_PCF_ZAR_20260527.csv,data/raw/easybalanced/EASYBF_PCF_ZAR_20260527.csv,d6504d1cd036e380bea8d767eeb44d681a03d11ea359d440fda01a1a9eb11518,new,29,99.78,2026-05-27T11:14:18Z
easybalanced,EASYBF,2026-05-28,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYBF_PCF_ZAR_20260528.csv,data/raw/easybalanced/EASYBF_PCF_ZAR_20260528.csv,6e98892a2fd47938d72efa911d21182b5152d1a5c1fe1b3b5dba8c5a72bf78c1,new,29,99.76,2026-05-28T12:45:54Z
easybalanced,EASYBF,2026-05-29,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYBF_PCF_ZAR_20260529.csv,data/raw/easybalanced/EASYBF_PCF_ZAR_20260529.csv,34c5d735155717f51eab43009c7e6bd073890fd0f2013cf9c2850b079424a61d,new,29,99.78,2026-05-29T12:27:44Z
easybalanced,EASYBF,2026-06-01,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYBF_PCF_ZAR_20260601.csv,data/raw/easybalanced/EASYBF_PCF_ZAR_20260601.csv,4c9014767f08d324d0a39c4a9f678fa7d5411012142f4165d5d89ce8ec5b171f,new,29,99.8,2026-06-01T15:33:18Z
easybalanced,EASYBF,2026-06-02,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYBF_PCF_ZAR_20260602.csv,data/raw/easybalanced/EASYBF_PCF_ZAR_20260602.csv,d721d297d6413497ac50bef8264a61c31dac18d9d48455dfa4edd8bdbf10ec98,new,29,99.69,2026-06-02T12:52:15Z
easybalanced,EASYBF,2026-06-03,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYBF_PCF_ZAR_20260603.csv,data/raw/easybalanced/EASYBF_PCF_ZAR_20260603.csv,b1f6089694c36cf405a713bde93493780656be6241a006a2c677367df36421ea,new,29,99.79,2026-06-03T14:06:13Z
