fund_code,ticker,price,source,price_at_utc,captured_at_utc
EASYAI,EASYAI.JO,10894.0,yfinance,2026-05-07T22:00:00Z,2026-05-11T08:36:49Z
EASYAI,EASYAI.JO,11551.0,yfinance,2026-05-11T22:00:00Z,2026-05-12T07:43:33Z
EASYAI,EASYAI.JO,11546.0,yfinance,2026-05-12T22:00:00Z,2026-05-13T11:37:35Z
EASYAI,EASYAI.JO,11600.0,yfinance,2026-05-13T22:00:00Z,2026-05-14T09:33:39Z
EASYAI,EASYAI.JO,11544.0,yfinance,2026-05-14T22:00:00Z,2026-05-15T11:30:29Z
EASYAI,EASYAI.JO,11308.0,yfinance,2026-05-17T22:00:00Z,2026-05-18T12:48:42Z
EASYAI,EASYAI.JO,10474.0,yfinance,2026-05-18T22:00:00Z,2026-05-19T12:21:37Z
EASYAI,EASYAI.JO,10813.0,yfinance,2026-05-19T22:00:00Z,2026-05-20T12:04:13Z
EASYAI,EASYAI.JO,11208.0,yfinance,2026-05-21T22:00:00Z,2026-05-22T12:01:35Z
EASYAI,EASYAI.JO,11276.0,yfinance,2026-05-24T22:00:00Z,2026-05-25T16:32:05Z
EASYAI,EASYAI.JO,11452.0,yfinance,2026-05-25T22:00:00Z,2026-05-26T12:49:48Z
EASYAI,EASYAI.JO,11658.0,yfinance,2026-05-26T22:00:00Z,2026-05-27T11:14:21Z
EASYAI,EASYAI.JO,11419.0,yfinance,2026-05-27T22:00:00Z,2026-05-28T12:45:57Z
EASYAI,EASYAI.JO,11281.0,yfinance,2026-05-28T22:00:00Z,2026-05-29T12:27:47Z
EASYAI,EASYAI.JO,10994.0,yfinance,2026-05-31T22:00:00Z,2026-06-01T15:33:20Z
EASYAI,EASYAI.JO,11218.0,yfinance,2026-06-01T22:00:00Z,2026-06-02T12:52:18Z
EASYAI,EASYAI.JO,11703.0,yfinance,2026-06-02T22:00:00Z,2026-06-03T14:06:16Z
EASYAI,EASYAI.JO,11177.0,yfinance,2026-06-03T22:00:00Z,2026-06-04T12:19:45Z
